Date;Countries;Prod_line;AccLevel;EmplGen;EmplAffil
6/9/2017 0:00:00;Country_01;Bronze;I;Male;Third Party
6/11/2017 0:00:00;Country_01;Alumin;I;Male;Third Party
6/11/2017 0:00:00;Country_01;Alumin;I;Male;Employee
6/11/2017 0:00:00;Country_01;Bronze;I;Male;Third Party
6/11/2017 0:00:00;Country_01;Alumin;I;Male;Third Party
6/14/2017 0:00:00;Country_02;Alumin;III;Male;Third Party (Remote)
6/15/2017 0:00:00;Country_01;Alumin;I;Male;Employee
6/17/2017 0:00:00;Country_01;Alumin;II;Male;Third Party
6/18/2017 0:00:00;Country_01;Alumin;IV;Male;Third Party
6/24/2017 0:00:00;Country_01;Alumin;II;Male;Employee
6/20/2017 0:00:00;Country_01;Alumin;I;Male;Employee
6/20/2017 0:00:00;Country_01;Alumin;I;Male;Third Party
6/24/2017 0:00:00;Country_01;Alumin;I;Female;Third Party
6/23/2017 0:00:00;Country_02;Bronze;I;Male;Employee
6/19/2017 0:00:00;Country_03;Steel;III;Male;Third Party
6/22/2017 0:00:00;Country_03;Steel;I;Male;Employee
6/22/2017 0:00:00;Country_03;Steel;I;Male;Employee
6/29/2017 0:00:00;Country_02;Alumin;I;Male;Employee
7/4/2017 0:00:00;Country_01;Alumin;I;Male;Third Party
7/4/2017 0:00:00;Country_01;Alumin;I;Female;Employee
7/5/2017 0:00:00;Country_02;Bronze;I;Male;Employee
7/6/2017 0:00:00;Country_02;Bronze;I;Male;Employee
7/9/2017 0:00:00;Country_01;Alumin;I;Female;Third Party
